SensorID,Date,Temperature,SoilMoisture,pH,Fertilizer,Location
s54,3/15/2025,18.7,48,6.4,3.4,EastField
s42,3/24/2025,22.2,28,7.3,2.9,north field
S30,3-Apr-25,33.3,42,6,3.3,W field
s35,2/26/2025,23.2,9999,6,3.8,e field
s46,14/03/2025,30.8,33,7,N/A,West Field
s22,4/9/2025,23.6,51,7.6,4,SOUTH FIELD
S046,18/03/2025,18.8,44,7.4,2.5,n field
s46,10/4/2025,28.9,19,,2.6,W field
S018,17-Mar-25,13.8,missing,7.2,3.4,WEST FIELD
s7,3/3/2025,17.2,43,6.2,None,SOUTH FIELD
s56,1-Mar-25,36.3,24,5.6,4.2,e field
S016,3/4/2025,16.7,47,-1.2,1.4,westField
S24,3/2/2025,30.1,37,7,2.8,Southfield
s2,2/28/2025,26.8,26,5.7,3.9,West Field
S054,3/9/2025,None,43,7.5,1.8,EASTFIELD
s08,4/4/2025,22.1,35,7.5,2.6,NORTH FIELD
s33,4/6/2025,22.2,39,6.9,1.9,EastField
S050,4/9/2025,32.7,,5.8,2.6,NORTH FIELD
S014,3/14/2025,25.7,34,7.3,1.2,West Field
S46,28-Feb-25,29.8,56,7.7,3.2,e field
s35,2/26/2025,16.8,30,7.2,2.3,NORTH FIELD
s26,3/28/2025,35.3,None,6.7,2.5,n field
S052,3/27/2025,28.1,N/A,7.7,3,w field
s11,3/2/2025,25.7,30,5.7,3.9,e field
s15,3/31/2025,20.9,41,6.4,1.8,W field
S24,4/8/2025,22.5,20,6.5,3.9,east field
s50,17/03/2025,17.4,57,7.2,1.8,WEST FIELD
s19,28/02/2025,36,50,5.9,N/A,westField
s7,3/20/2025,24.2,45,7.4,1.8,WEST FIELD
S2,3/2/2025,23.8,N/A,6.3,,West Field
S22,4/7/2025,23.6,50,None,4,Southfield
S032,6-Mar-25,32.1,56,6.4,,North Field
S004,3/3/2025,28.8,34,6,2.9,north field
s10,3/22/2025,17.1,58,6.3,1.3,NorthField
S052,3/9/2025,34.7,60,7.5,2.4,West Field
S006,3/3/2025,16.8,53,6.7,3.5,East Field
s36,4/4/2025,33.9,38,6.4,2.7,S field
S027,7-Apr-25,26.9,64,7.6,missing,Nrth Field
S31,28-Feb-25,37,59,6.6,3.2,e field
S58,13-Mar-25,20,21,6.2,2.6,w field
S23,4/4/2025,29.4,48,6.3,1.2,NorthField
S049,4/7/2025,24.7,35,5.9,3.6,S field
S014,2/3/2025,13.3,42,6.8,3.7,EastField
S025,31/03/2025,23.6,22,5.9,3.5,north field
s03,3/21/2025,missing,42,7.4,2.7,north field
S059,5-Apr-25,33.6,52,missing,3.8,north field
s22,27-Mar-25,15.6,50,5.8,1.5,Southfield
S049,4/9/2025,21.8,30,6.6,3.1,westField
S20,3/27/2025,31.2,51,6.4,3.9,w field
s34,4/8/2025,32.7,62,6.3,1.9,W field
s23,3/5/2025,30.9,47,5.6,1.8,North Field
S031,3/18/2025,30.5,26,6.6,4.1,NORTH FIELD
s59,3/20/2025,13.8,38,5.9,2,e field
s30,3/8/2025,34.4,38,5.8,2.3,West Field
S055,3/5/2025,13.4,37,7.4,3.7,WEST FIELD
s43,4/8/2025,34.3,33,7.5,2.3,West Field
S054,4/6/2025,34.8,22,5.5,2.7,East Field
s25,3/30/2025,18.6,25,None,2.3,e field
s41,3/3/2025,12.2,26,7.5,3.1,Nrth Field
S11,29/03/2025,20,30,7.7,3.1,W field
S050,4-Mar-25,30.8,None,5.6,3,Southfield
s04,3/26/2025,28.3,51,5.6,3.1,NorthField
S45,3/9/2025,26.4,62,6.9,3.8,WEST FIELD
s31,24-Mar-25,37.9,65,7.1,2.6,SOUTH FIELD
S051,3/5/2025,33.9,50,7.4,3.1,East Field
s7,3/29/2025,26.8,57,6.8,1.7,w field
S023,4/9/2025,13.1,26,None,2,South Field
s40,3/11/2025,28,59,7.3,missing,Nrth Field
s38,3/4/2025,26.9,23,7.6,1.4,WEST FIELD
S27,3/3/2025,27.6,18,7,4,W field
S031,3/7/2025,31.4,51,6,1.7,n field
s43,3/20/2025,36.1,19,6.2,2.4,Nrth Field
S46,10-Mar-25,16.8,62,7.7,N/A,east field
S58,23-Mar-25,-30.9,56,6,2.3,westField
s45,3/12/2025,21,52,7.2,2.2,EASTFIELD
s28,5/4/2025,missing,None,5.9,2.9,westField
s38,3/12/2025,,29,5.5,3.6,S field
S055,2/25/2025,None,48,7.3,3.6,north field
s31,8-Mar-25,29.2,53,7.2,1.4,w field
S034,1/3/2025,26.4,41,6,3.6,S field
s12,8/3/2025,24.1,22,7.5,3.8,north field
s12,8/4/2025,27.5,56,6.9,2.4,n field
S009,4/3/2025,23.7,30,6.5,1.2,north field
s15,4/2/2025,12.1,35,5.9,2.2,east field
s55,3/27/2025,22.8,61,7.3,3.3,w field
S55,3/23/2025,35.8,50,6.8,2.9,EastField
S34,29/03/2025,23.6,49,-0.9,1.4,SOUTH FIELD
s44,4/5/2025,29.7,30,5.9,2.3,n field
s24,2-Apr-25,27.4,39,5.9,1.4,NORTH FIELD
s46,3/27/2025,14.4,55,5.5,3.8,W field
S34,3/3/2025,20.1,20,6.1,3.9,WEST FIELD
S048,15/03/2025,25.7,9999,7.7,2.5,Nrth Field
S059,3/1/2025,27.9,34,6.4,2.5,Nrth Field
s35,4/10/2025,27,23,7.6,1.5,WEST FIELD
S2,4/7/2025,15.5,19,6.9,1.5,SOUTH FIELD
s19,3/26/2025,16.7,38,6.8,2.3,NORTH FIELD
s38,5/4/2025,12.7,,6.2,2.7,SOUTH FIELD
s44,30-Mar-25,16.8,48,7.5,1.2,W field
s17,27-Feb-25,23.4,62,6.4,3,westField
s7,3/10/2025,20.3,30,7,1994.2,n field
S53,3/16/2025,28.8,62,7.2,2.1,East Field
S31,3/7/2025,13.6,25,5.8,1.4,East Field
S53,20-Mar-25,32.4,64,6.7,3.4,w field
S28,20/03/2025,29.9,50,6.6,2.8,Nrth Field
s49,3/19/2025,14.7,23,7.3,1.8,north field
s08,3/24/2025,385.2,57,14,1.2,w field
S27,3/24/2025,13.1,33,7.7,1.8,East Field
s16,3/29/2025,31.7,22,5.6,1.2,WEST FIELD
s11,7/3/2025,28.6,58,6.9,2.3,Southfield
S033,25/02/2025,19,59,6.2,1.7,South Field
s25,3/15/2025,15.7,40,1,3.8,north field
S5,3/12/2025,22,44,6.4,N/A,W field
s40,4/5/2025,34.5,61,7.2,1.7,north field
s26,25-Mar-25,16,44,7.2,3.4,Southfield
S51,3/17/2025,28.5,64,missing,2.9,SOUTH FIELD
S018,3/5/2025,14.1,59,6.6,3.9,W field
s40,3/15/2025,33.3,33,7.4,1.6,east field
s01,3/16/2025,13.1,33,7.4,1.9,SOUTH FIELD
S030,2/25/2025,21.4,26,6.9,1.9,EastField
s42,3/17/2025,19.8,54,7.7,1.8,e field
S9,4/1/2025,25.6,31,5.6,,east field
S014,3/20/2025,13.4,21,7.3,2.2,W field
s11,3/27/2025,27.8,,7.2,3,w field
S25,26/02/2025,17.8,54,6.3,3.1,w field
S045,3/7/2025,29.2,9999,6.2,2.5,WEST FIELD
s32,4-Mar-25,22.7,31,7.2,4,NorthField
s43,3/30/2025,21.5,53,6.2,1.4,EASTFIELD
S028,15/03/2025,35.5,43,6.5,3.1,Nrth Field
s28,3/23/2025,37.5,62,6.7,1.4,NorthField
s27,4/8/2025,12.6,38,,3.6,Nrth Field
S36,6/4/2025,missing,38,7.1,2.3,NorthField
s6,30-Mar-25,15.8,56,6.5,2.1,north field
S7,3/24/2025,32.2,37,6.7,3.1,Southfield
S027,3/19/2025,23.3,32,7.6,1.8,NorthField
S029,3/19/2025,37,19,5.8,3.4,Southfield
S57,2/27/2025,19.1,61,7,1.9,NORTH FIELD
s37,4/3/2025,32,37,6.5,1.9,Southfield
S57,3/1/2025,26.1,55,5.8,2.2,Southfield
S33,4/6/2025,29.8,36,0.6,3.6,n field
S26,3/3/2025,N/A,60,6.9,None,West Field
S036,3/12/2025,13.4,60,7.3,3.4,SOUTH FIELD
s54,3/13/2025,23.3,27,7.1,1.9,East Field
s17,16-Mar-25,30,59,5.7,1.6,WEST FIELD
S16,16/03/2025,28.9,65,6.9,2.4,NorthField
S033,3/6/2025,33,57,7.5,1.8,Southfield
S3,4/2/2025,26.7,33,6.1,1.3,NorthField
S1,3/2/2025,18.2,64,6.9,1.4,South Field
S23,4/4/2025,22.3,53,6,2.4,EastField
s22,3/6/2025,27.1,43,6.8,2.6,WEST FIELD
S003,3/20/2025,26.1,47,6,3.7,North Field
s34,3/7/2025,23.9,40,7.5,missing,North Field
S058,2/26/2025,17.6,64,6.4,1.9,West Field
S051,3/30/2025,34,58,6.8,1.4,North Field
S059,15-Mar-25,19.6,21,7.6,1.3,e field
s32,5/3/2025,37.5,27,7,3.9,e field
s32,3/17/2025,35.2,48,7.3,2.1,EASTFIELD
S6,12/3/2025,25.4,32,7.6,,East Field
S44,2/3/2025,25.1,18,,3.4,east field
s43,13-Mar-25,36,21,6.3,1.6,EASTFIELD
s18,26-Feb-25,12.4,58,6.3,3.6,NorthField
S036,2/27/2025,13.7,21,6,3,EASTFIELD
s51,12-Mar-25,19.2,50,6.4,3,EastField
s32,4/10/2025,28.1,26,missing,1.2,NORTH FIELD
s53,14/03/2025,25.1,43,6.4,3.4,westField
S050,3/24/2025,14.7,44,7.1,3.7,East Field
s6,3/25/2025,33.4,58,5.9,1.3,Nrth Field
s36,3/13/2025,20.2,20,7.1,3.2,W field
S35,26-Mar-25,14.3,53,6.8,2.6,EASTFIELD
S057,4/5/2025,25.5,30,6.1,1.5,S field
S041,3/15/2025,22.7,33,7,1.6,W field
S028,1/4/2025,25.7,39,5.6,1.4,EastField
S31,9-Mar-25,None,missing,,1.9,EASTFIELD
S33,20-Mar-25,31.9,33,5.9,2.3,East Field
s17,3/22/2025,13.3,N/A,7.2,2,NORTH FIELD
S026,3/9/2025,29.1,30,6.6,1.8,NorthField
s10,3/22/2025,17.6,29,7.3,2.5,W field
s20,17/03/2025,18.8,59,7.2,1.5,S field
s35,3/1/2025,25.6,20,6.9,3.4,north field
s15,3/28/2025,34.3,50,6.5,3.2,North Field
s08,10/4/2025,15,44,7.5,3.7,n field
s42,4/1/2025,32.9,34,6.2,3.3,S field
S041,3/29/2025,22.7,missing,N/A,2.6,West Field
s06,4/3/2025,31.2,50,7.2,1.4,South Field
S57,25/03/2025,31,64,6.4,1.6,South Field
s21,4-Apr-25,20.4,36,5.9,1.4,W field
s51,7-Mar-25,33.2,46,7.3,1.7,n field
S035,4/1/2025,33.9,57,6.3,3.9,NORTH FIELD
S007,3/28/2025,33.2,45,N/A,1.6,e field
s53,3/7/2025,27.7,49,7,2.3,w field
S057,3/8/2025,33.5,20,7.6,1.9,North Field
s40,3/1/2025,30.2,N/A,6,1.9,EastField
S033,20-Mar-25,33.4,48,6.7,2.5,westField
s27,30-Mar-25,12.7,61,6.3,1.5,South Field
s37,3/19/2025,28.1,46,5.7,1.6,NORTH FIELD
s19,4/8/2025,26,47,7,4.1,West Field
S3,7/3/2025,25.8,45,7.3,4,SOUTH FIELD
S045,2/27/2025,25.6,23,6.5,1.9,East Field
S008,4/10/2025,37.1,21,7.2,1.6,W field
S9,9/3/2025,34.2,40,7.2,3340.1,North Field
s5,3/12/2025,18.2,32,7.2,2.1,n field
S42,24-Mar-25,34.2,60,6.3,1.5,north field
S016,4/5/2025,18,32,5.9,4.1,EASTFIELD
s42,4/5/2025,19.3,missing,7.4,1.7,east field
s17,28/03/2025,36.1,21,7.7,1.6,WEST FIELD
S22,10-Apr-25,34.7,61,7.6,2.4,WEST FIELD
S031,3/3/2025,15,18,5.5,1.4,North Field
S007,9/3/2025,23.2,45,6,2.7,S field
S006,24-Mar-25,-91.4,53,7.2,3.6,EASTFIELD
s54,3/16/2025,33.5,20,7.2,2.5,east field
S58,3/25/2025,missing,57,7.6,3.9,North Field
s60,3/6/2025,24,28,6.7,2.2,WEST FIELD
S036,2/4/2025,18,41,5.6,1.2,WEST FIELD
s42,14/03/2025,22.5,31,5.9,2.2,w field
S011,3/22/2025,36.1,49,6,1.4,westField
S060,3/21/2025,12.2,30,7.1,1.3,North Field
s03,4/9/2025,28.2,60,6.3,1.3,westField
s12,2/27/2025,,62,7.6,3.4,West Field
S055,2/25/2025,37.1,52,6.2,2.7,EASTFIELD
s45,25-Mar-25,29.6,N/A,7.3,1.7,NORTH FIELD
S23,10-Apr-25,29.5,28,5.6,3.4,n field
S015,3/14/2025,17.3,19,6.3,2.6,S field
s54,3/31/2025,23,33,6.1,2.1,e field
s14,2/28/2025,22.2,57,7.5,2.4,North Field
s38,3/29/2025,-78.7,39,7.5,3.6,east field
s34,3/24/2025,31.2,50,7.6,3,S field
s27,12-Mar-25,N/A,18,,3,North Field
S19,3/21/2025,12.6,53,6.5,1.8,W field
s9,4/2/2025,34.7,55,7.7,3.7,W field
S25,3/6/2025,32,58,7,2.5,EASTFIELD
s40,4/3/2025,22.9,44,6.9,,north field
s28,4/1/2025,34.5,31,6.3,1.5,W field
s16,2/4/2025,N/A,48,6.4,3.3,W field
S2,2/26/2025,19.4,42,7.2,3.5,EastField
S51,2/28/2025,23.7,33,None,3.4,SOUTH FIELD
s01,4/3/2025,34.6,27,1.1,3.6,East Field
s04,27/02/2025,14.2,missing,7,3.5,EastField
s28,26-Mar-25,22.1,52,None,1.6,EastField
S033,4-Mar-25,23.2,,6.9,2.1,NorthField
s45,3/5/2025,21.5,30,6.3,3,North Field
s32,3/29/2025,30.9,39,6.8,3.3,WEST FIELD
S8,27/02/2025,25.9,None,7.6,1.2,NorthField
s28,4-Apr-25,19.7,41,7.5,2.1,West Field
s36,3/29/2025,30.2,44,6.1,3.2,SOUTH FIELD
s60,1-Mar-25,-99.5,20,7.4,2.2,North Field
s40,3/20/2025,21,53,5.6,2.6,w field
s2,13-Mar-25,35.9,None,6.4,None,S field
S002,3/18/2025,13.7,36,7.5,1.5,east field
s4,23/03/2025,13.9,51,6.9,3.8,WEST FIELD
s45,4/2/2025,19.9,55,,3.1,EastField
S2,9-Apr-25,29.5,57,5.9,2.6,East Field
S30,23/03/2025,32.3,23,5.8,1.7,WEST FIELD
s43,3/8/2025,37,64,5.8,3.2,WEST FIELD
s08,9/3/2025,19.4,33,6.7,2.4,westField
s42,27/03/2025,23.5,52,6.5,N/A,n field
S11,3/4/2025,794.7,63,6.5,3.5,S field
S052,2/28/2025,19.9,21,7.2,3.7,north field
s42,3/4/2025,17.8,20,6.5,3.7,W field
S021,24/03/2025,missing,18,6.9,3.6,EASTFIELD
s07,12-Mar-25,17.8,19,7.4,2.2,SOUTH FIELD
s44,3/30/2025,,63,6,2.1,NorthField
S047,4/7/2025,34.6,missing,7.4,1.2,South Field
S021,30-Mar-25,24.4,58,7.7,2.7,SOUTH FIELD
S032,3/31/2025,34.3,35,5.6,3.5,e field
S056,25-Feb-25,37.6,20,7.2,1.7,EASTFIELD
S54,3/26/2025,35.8,30,7.1,2.1,north field
S020,2-Apr-25,15.9,60,7.2,2.7,north field
s34,3/19/2025,22.8,47,,3.1,east field
S033,3/15/2025,34.2,32,7.1,3.2,North Field
S033,4/9/2025,34.1,62,7.8,1.6,SOUTH FIELD
S007,3/31/2025,23.6,44,6.5,None,east field
S053,3/10/2025,33.4,60,6.5,3.3,EASTFIELD
s50,15/03/2025,24.6,63,7,1.6,S field
s40,28/03/2025,34,22,5.5,2.6,east field
s51,7-Apr-25,26.5,37,5.7,4,e field
s19,7/4/2025,30.7,27,6.1,2.5,South Field
s35,4/6/2025,33.8,31,5.8,N/A,EASTFIELD
s1,3/26/2025,12.1,,6.8,1.4,NorthField
S29,3/12/2025,24.8,,7.4,2.8,SOUTH FIELD
s54,3/13/2025,24.6,19,5.9,2,South Field
S23,3/4/2025,25.6,35,5.8,1.6,north field
s27,4/4/2025,28.4,38,5.5,1.3,Nrth Field
s48,3/17/2025,16.4,44,6.3,3.4,Nrth Field
s42,30/03/2025,21.2,52,6,1.8,w field
S026,3/2/2025,35.4,37,6.8,2,Southfield
s37,3/9/2025,25.2,35,5.8,3.4,SOUTH FIELD
s8,3/23/2025,37.6,46,6.6,1.8,East Field
s22,18-Mar-25,37.7,None,7.1,3063.1,North Field
s24,13/03/2025,30.8,60,5.8,missing,South Field
S12,3/3/2025,31.6,56,,2,West Field
S044,3/21/2025,N/A,62,7.7,2.3,westField
s09,3/14/2025,13.8,40,7.4,missing,East Field
s21,3/6/2025,37.1,45,7.1,1.6,n field
S59,3/10/2025,20.3,56,6,3.4,w field
S002,29/03/2025,33.6,18,6.3,2.2,north field
s55,25/02/2025,28.3,43,7.6,3.6,West Field
S007,3/11/2025,18.7,36,5.7,2.6,Southfield
S047,4/10/2025,17.5,54,7.8,3,Southfield
S010,1/4/2025,28.7,59,5.7,2.1,WEST FIELD
S053,15-Mar-25,-79.6,N/A,N/A,,West Field
S8,3/10/2025,22.3,40,6.9,2,NORTH FIELD
S019,3/9/2025,29.6,52,7.8,2,EASTFIELD
S008,8/3/2025,17.2,35,6.2,3.9,w field
S057,3/31/2025,31.4,53,7.2,2.5,EASTFIELD
S60,3/31/2025,32.4,29,6.8,4.1,EastField
S053,19/03/2025,25.5,28,7.3,2.5,South Field
S31,3/8/2025,31,63,5.8,1.4,SOUTH FIELD
s58,3/27/2025,missing,21,5.9,2.6,W field
S26,3/5/2025,12.9,N/A,7.6,2.3,W field
s03,9-Apr-25,16.3,25,7.2,4.1,Southfield
s34,20/03/2025,-86.2,62,7.2,3.9,EASTFIELD
s42,3/15/2025,17.9,41,6.5,4.1,Nrth Field
s44,15/03/2025,21.6,48,5.9,1.3,South Field
s45,6/4/2025,16.6,37,7.3,3.2,Nrth Field
S38,3/28/2025,33,18,7.1,3.6,W field
S8,3/7/2025,25.4,N/A,6.9,1.5,westField
s23,3/31/2025,37.2,33,6.3,3.9,EASTFIELD
s59,3/22/2025,37.8,58,5.7,1.5,e field
s1,3/22/2025,12.9,62,6.7,2.2,e field
s28,2-Mar-25,24.2,58,6.6,2.7,Southfield
S32,18-Mar-25,36.5,25,6,missing,North Field
S038,3/1/2025,29.8,37,7.3,4.2,West Field
S26,5/4/2025,13.8,40,missing,3.9,w field
S047,8/3/2025,25.1,63,7.1,2.4,NORTH FIELD
s33,4/10/2025,18.6,53,5.8,1.3,e field
s1,2/27/2025,27.6,62,6.9,2058.3,North Field
S48,2/26/2025,34.6,61,7.1,1.7,east field
S60,12/3/2025,28.8,35,5.8,3.3,West Field
S1,3/16/2025,32,34,6.7,3.8,East Field
S018,2-Mar-25,17.6,55,7.3,3.6,NORTH FIELD
s56,6-Mar-25,36.7,40,7.8,2.1,n field
S015,3/1/2025,21.9,46,6.2,3.8,n field
S027,3/1/2025,-43.5,61,5.5,3.1,North Field
S16,3/14/2025,17.4,47,6.8,3.5,n field
S33,6/4/2025,25.9,40,6.3,3.6,westField
s05,4/4/2025,13.2,60,7.6,2.8,S field
s7,11/3/2025,35,19,6.6,1.5,NorthField
S42,3/11/2025,22.8,36,6.1,1.5,North Field
s57,3/28/2025,12.7,55,7.1,2,North Field
S037,2/25/2025,34.7,63,5.6,2.5,NORTH FIELD
s16,3/23/2025,37.1,50,5.7,2.7,South Field
s46,18/03/2025,18,49,6.5,3.3,SOUTH FIELD
s26,31-Mar-25,14.7,37,7.1,2.6,NorthField
s11,3/12/2025,27.7,57,6.9,3.4,WEST FIELD
S4,7/3/2025,26,49,7.3,3.2,north field
s28,29/03/2025,23.1,42,6.8,1.4,South Field
s15,3/12/2025,20.9,20,5.6,1.3,Southfield
S021,27/03/2025,28.3,35,7.7,3.4,westField
S056,24-Mar-25,14.9,26,5.8,4.1,EASTFIELD
s10,1/4/2025,13.9,40,6.7,2.3,NorthField
s26,4/4/2025,16.8,44,7.3,4,NorthField
s20,3/13/2025,15,29,5.7,3769.4,NORTH FIELD
S43,3/23/2025,35.1,41,7.3,1.5,North Field
s15,3-Mar-25,28.6,41,7.4,3.5,West Field
s37,24/03/2025,22.7,62,5.9,1.6,Southfield
s28,4/8/2025,27.8,55,7.2,2.7,north field
S50,10/3/2025,17.3,29,7.8,3.1,westField
S039,3/24/2025,30.2,64,5.8,1.3,e field
S018,3/30/2025,35.2,38,6.3,3,SOUTH FIELD
S019,9-Apr-25,32.1,44,5.9,2.2,WEST FIELD
s24,25-Mar-25,34.6,37,7.8,3.4,westField
s38,31/03/2025,20.1,58,6,3.8,West Field
S007,3/8/2025,36,50,6.6,2,North Field
S30,4/10/2025,18.2,65,7.6,3.8,EASTFIELD
s31,3/16/2025,20.9,58,5.9,3,w field
s36,28/02/2025,19.1,55,5.8,1.6,W field
S005,22/03/2025,26,55,9.5,4,South Field
S052,4/4/2025,25.4,25,6.3,1.6,S field
s35,4/7/2025,14.5,60,5.5,1.4,NorthField
S21,3/23/2025,16.8,59,6.8,4.1,SOUTH FIELD
s19,1/4/2025,16.6,54,7.3,4.1,EASTFIELD
s09,2/3/2025,33.9,44,7.4,3.5,NORTH FIELD
s27,4/1/2025,N/A,18,5.8,2,WEST FIELD
s38,8-Mar-25,32,20,6.4,1.3,West Field
s10,9/3/2025,26.1,22,7.5,3.5,EastField
s34,4/5/2025,37.3,31,6.9,2.9,NorthField
s44,4/7/2025,34.3,20,5.6,1.8,n field
S021,4/3/2025,20,63,6.9,2.2,EASTFIELD
s47,10-Mar-25,21.2,32,7.4,3.6,Southfield
S058,12-Mar-25,21,18,6.1,2.5,EASTFIELD
S38,3/4/2025,32.4,28,5.5,3.6,NorthField
S048,13/03/2025,23.8,30,6.6,1.6,east field
s45,3/4/2025,26.1,21,5.7,4,North Field
S008,29-Mar-25,28.4,59,6.3,1.5,NORTH FIELD
s45,4/4/2025,15.7,9999,6.2,3.6,East Field
S044,3/25/2025,17.4,24,5.6,1.3,South Field
S016,1-Apr-25,26,28,7,2.4,South Field
S46,3/12/2025,25.4,62,7.6,2.9,EastField
S035,22-Mar-25,18.8,58,7.5,2281.8,east field
s8,4/4/2025,23.7,43,5.7,2.8,EastField
s11,2/26/2025,32.8,24,5.6,2.6,WEST FIELD
s49,3/23/2025,32.5,21,7.6,2,South Field
S009,3/8/2025,29,missing,6.1,2,n field
s52,13/03/2025,13.9,19,6.4,3.7,W field
s40,28-Feb-25,28.6,57,6.2,1.5,East Field
s36,3/6/2025,15.8,25,6.9,3,westField
s13,20/03/2025,24.7,32,6.9,2.4,W field
s41,11-Mar-25,33.9,44,7.6,3.9,East Field
s56,3/7/2025,27.6,42,6.1,3.6,WEST FIELD
S28,4/8/2025,29.3,37,7,2,WEST FIELD
S057,2/25/2025,19.6,42,6.3,1.2,NorthField
S020,3/22/2025,19.1,35,7.1,3.8,North Field
s49,20-Mar-25,28.1,46,7.8,1.3,Nrth Field
s36,2/27/2025,25.4,60,6.2,3.8,West Field
S32,3/30/2025,27.9,41,6.2,3.4,West Field
S18,20/03/2025,36.6,35,6.3,3.3,West Field
S027,14/03/2025,15.9,41,6.2,2.5,north field
S19,3/4/2025,15.3,31,7.3,2.4,West Field
S042,1-Apr-25,19.1,34,7.3,2.9,w field
S11,14/03/2025,19,33,7.7,3.1,EastField
S51,3/6/2025,23.7,33,5.6,1.7,Southfield
s38,3/5/2025,36.8,63,6,2,westField
s23,18/03/2025,35.1,60,6.9,3.5,Nrth Field
s39,3/7/2025,31.4,26,5.7,3.3,Nrth Field
S035,10/4/2025,35.3,64,5.5,1.4,Nrth Field
s52,3/5/2025,12.4,missing,N/A,3.6,West Field
s57,8/3/2025,36.3,30,7.6,2.6,S field
s36,3/28/2025,33.9,59,7.3,3.2,EASTFIELD
S001,4/1/2025,28.6,38,N/A,1.9,n field
s57,3/23/2025,21.9,19,7.2,1.6,w field
s14,3/6/2025,-65.5,28,6.7,4.2,NORTH FIELD
s28,3/24/2025,27.9,55,7.8,2.6,South Field
s50,3/14/2025,24.4,26,9.2,2.2,East Field
S003,23-Mar-25,20.6,30,7.4,2.7,South Field
s41,3/18/2025,32,33,7.5,1.4,westField
S023,4/4/2025,,,7,2.5,westField
S33,3/24/2025,23.5,56,6.5,4,north field
S17,3/19/2025,26.1,48,7.5,3.7,W field
s46,4/7/2025,12.1,31,5.7,2.9,East Field
s20,4/10/2025,19.9,55,6.1,2.2,n field
s43,28-Feb-25,25.7,33,7.6,1.4,w field
s52,3/14/2025,19.4,48,7.1,2.2,NorthField
s14,3/27/2025,22.9,21,6.8,1.5,North Field
s11,3/16/2025,None,18,6.1,1.5,w field
S053,3/25/2025,14.6,44,6.6,3.5,North Field
S3,3/25/2025,-3.2,29,5.6,3.3,EastField
S049,5-Mar-25,36.1,23,6,3.4,EASTFIELD
s20,24/03/2025,13.7,44,7.7,3.2,South Field
S054,3/24/2025,14.3,36,6,2,Southfield
S035,9/3/2025,20.7,27,6.5,2.8,NorthField
S47,10-Mar-25,14.7,65,6.6,3.6,EASTFIELD
S2,3/4/2025,31.5,20,7.8,2.9,WEST FIELD
S060,1/3/2025,34.3,52,5.9,2.8,SOUTH FIELD
S43,8-Mar-25,22.8,44,6.3,2.6,W field
S42,3/24/2025,28.1,63,7,2.7,W field
S014,3/1/2025,478.8,52,7.3,2.1,WEST FIELD
S40,3/7/2025,20.8,62,6.4,1.6,West Field
S23,2/28/2025,20.2,65,6.1,4,WEST FIELD
s60,26-Mar-25,N/A,31,6.5,1.2,NORTH FIELD
s05,3/15/2025,27,37,5.9,2.5,Nrth Field
S57,3/6/2025,37.5,30,7.7,3.5,Nrth Field
s15,3/19/2025,33.9,53,7,1.7,Southfield
s42,3/10/2025,13.1,39,6.2,1.5,westField
s58,2/25/2025,18.7,41,6.1,3.7,NORTH FIELD
S030,4/10/2025,24.2,45,6.3,3,Nrth Field
S047,21/03/2025,28.9,23,7.5,1.2,W field
